Period,NHSERApr19CD,Sex,AgeDesc,Age,Population
2018,E40000003,1,10,10,57802
2018,E40000003,1,14,14,49075
2018,E40000003,1,2,2,64130
2018,E40000003,1,21,21,51041
2018,E40000003,1,23,23,62264
2018,E40000003,1,5,5,63406
2018,E40000003,1,53,53,54404
2018,E40000003,1,60,60,40851
2018,E40000003,1,64,64,32681
2018,E40000003,1,77,77,15709
2018,E40000003,2,17,17,46158
2018,E40000003,2,42,42,63181
2018,E40000003,2,67,67,32011
2018,E40000003,2,75,75,23636
2018,E40000003,2,76,76,21482
2018,E40000003,2,78,78,20234
2018,E40000003,2,79,79,19915
2018,E40000003,2,81,81,17794
2018,E40000003,2,82,82,16849
2018,E40000003,4,10,10,113407
2018,E40000003,4,13,13,100163
2018,E40000003,4,14,14,96282
2018,E40000003,4,2,2,125262
2018,E40000003,4,21,21,99669
2018,E40000003,4,40,40,137632
2018,E40000003,4,44,44,122540
2018,E40000003,4,51,51,114667
2018,E40000003,4,53,53,110855
2018,E40000003,4,6,6,127222
2018,E40000003,4,60,60,83208
2018,E40000003,4,63,63,71697
2018,E40000003,4,64,64,68655
2018,E40000003,4,77,77,35088
2018,E40000005,1,20,20,52852
2018,E40000005,1,23,23,54351
2018,E40000005,1,37,37,55527
2018,E40000005,1,5,5,56130
2018,E40000005,1,50,50,62424
2018,E40000005,1,54,54,63867
2018,E40000005,1,72,72,40710
2018,E40000005,2,12,12,51715
2018,E40000005,2,36,36,57626
2018,E40000005,2,39,39,58027
2018,E40000005,2,41,41,54618
2018,E40000005,2,42,42,55223
2018,E40000005,2,57,57,58531
2018,E40000005,2,62,62,49177
2018,E40000005,2,7,7,55069
2018,E40000005,2,75,75,39853
2018,E40000005,2,78,78,31990
2018,E40000005,2,81,81,28380
2018,E40000005,2,83,83,25217
2018,E40000005,4,10,10,110980
2018,E40000005,4,14,14,101027
2018,E40000005,4,2,2,103197
2018,E40000005,4,21,21,105843
2018,E40000005,4,23,23,105245
2018,E40000005,4,5,5,108845
2018,E40000005,4,50,50,126823
2018,E40000005,4,53,53,130663
2018,E40000005,4,54,54,128392
2018,E40000005,4,60,60,105752
2018,E40000005,4,64,64,93124
2018,E40000005,4,72,72,85930
2018,E40000006,1,17,17,30009
2018,E40000006,1,71,71,38697
2018,E40000006,1,86,86,9618
2018,E40000006,1,89,89,6113
2018,E40000006,2,16,16,27641
2018,E40000006,2,19,19,33428
2018,E40000006,2,31,31,33183
2018,E40000006,2,4,4,30603
2018,E40000006,2,41,41,30224
2018,E40000006,2,43,43,32546
2018,E40000006,2,52,52,41548
2018,E40000006,2,61,61,35631
2018,E40000006,2,62,62,34014
2018,E40000006,2,8,8,31884
2018,E40000006,2,80,80,20880
2018,E40000006,2,83,83,17527
2018,E40000006,2,84,84,16036
2018,E40000006,4,17,17,58938
2018,E40000006,4,50,50,77577
2018,E40000006,4,54,54,81846
2018,E40000006,4,71,71,79878
2018,E40000006,4,72,72,61475
2018,E40000006,4,86,86,23962
2018,E40000006,4,89,89,16296
2018,E40000006,4,90+,90,64295
2018,E40000007,1,20,20,33561
2018,E40000007,1,24,24,39981
2018,E40000007,1,32,32,41104
2018,E40000007,1,46,46,44140
2018,E40000007,1,49,49,45698
2018,E40000007,1,71,71,39818
2018,E40000007,1,73,73,28725
2018,E40000007,1,85,85,11210
2018,E40000007,1,86,86,10196
2018,E40000007,1,88,88,7633
2018,E40000007,1,89,89,6231
2018,E40000007,2,0,0,36078
2018,E40000007,2,11,11,38274
2018,E40000007,2,22,22,35013
2018,E40000007,2,27,27,39184
2018,E40000007,2,3,3,39117
2018,E40000007,2,35,35,42889
2018,E40000007,2,38,38,44307
2018,E40000007,2,43,43,41565
2018,E40000007,2,52,52,47742
2018,E40000007,2,61,61,37666
2018,E40000007,2,80,80,21732
2018,E40000007,2,84,84,16625
2018,E40000007,2,9,9,40251
2018,E40000007,4,20,20,63919
2018,E40000007,4,24,24,77446
2018,E40000007,4,32,32,83184
2018,E40000007,4,37,37,86374
2018,E40000007,4,49,49,92148
2018,E40000007,4,71,71,84013
2018,E40000007,4,86,86,24828
2018,E40000007,4,89,89,16673
2018,E40000008,1,19,19,70279
2018,E40000008,1,32,32,66321
2018,E40000008,1,46,46,70505
2018,E40000008,1,49,49,72969
2018,E40000008,1,73,73,46240
2018,E40000008,1,85,85,16775
2018,E40000008,1,88,88,11060
2018,E40000008,2,0,0,57937
2018,E40000008,2,11,11,62081
2018,E40000008,2,13,13,59100
2018,E40000008,2,22,22,67695
2018,E40000008,2,3,3,61558
2018,E40000008,2,35,35,67115
2018,E40000008,2,40,40,59001
2018,E40000008,2,43,43,62080
2018,E40000008,2,44,44,64089
2018,E40000008,2,51,51,74617
2018,E40000008,2,52,52,75453
2018,E40000008,2,6,6,66181
2018,E40000008,2,61,61,59970
2018,E40000008,2,63,63,56254
2018,E40000008,2,80,80,34777
2018,E40000003,1,16,16,47349
2018,E40000003,1,19,19,45615
2018,E40000003,1,31,31,85868
2018,E40000003,1,32,32,88778
2018,E40000003,1,41,41,67917
