"Geography","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","Value","Group","Model","Scenario","ValueType","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"East of England",1.06011256596014,1.82622076885736,3.81395484984262,7.1621857199157,9.72265497297439,12.0711379911304,5.57101725287737,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,17,2,2020
"London",41.3430577197738,49.2182660690619,61.098483228237,83.5672680459784,101.376934605857,114.170082719891,72.0934458690205,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,17,2,2020
"Midlands",11.3851094346463,13.6544360010652,17.7847020933452,25.2631131733592,34.2516965868995,39.9407367342327,20.9276763225518,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,17,2,2020
"North East and Yorkshire",1.15502180509211,1.6669723182142,2.63743823613002,4.94945204022339,7.50311240430415,9.7727649424442,3.70370546273454,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,17,2,2020
"North West",3.54274584621289,4.20697365097885,5.93825855121645,10.8366359177002,15.8938876731738,19.1237169660894,8.10615979092542,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,17,2,2020
"South East",7.05908516928886,9.74143712626049,14.1705401523904,24.4840744778087,31.4157536318621,35.4037733279717,18.9165457250887,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,17,2,2020
"South West",1.94217198706546,2.44852216430301,3.70122291865468,7.40770546870345,10.0914248115886,11.8067335609654,5.19077478192773,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,17,2,2020
"East of England",2.42181938435246,4.13149006084436,8.53410968537369,15.866954647853,21.4654090813147,26.5399645344243,12.3832598422828,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,18,2,2020
"London",91.5147960458802,108.750115318316,134.601602333352,183.133147226209,221.580708009454,248.974563491105,158.426752380864,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,18,2,2020
"Midlands",25.3276972197912,30.3007233881779,39.27177313331,55.5715615157314,74.9076977123401,87.1993978117438,46.143558995844,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,18,2,2020
"North East and Yorkshire",2.62709853227749,3.77003721254399,5.92317713004907,11.0209197845382,16.6231238356247,21.513069700083,8.27518044567281,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,18,2,2020
"North West",7.95208318309803,9.41576634621046,13.2280476070019,23.9126102685303,34.9013546925012,41.8814060695351,17.9641578554699,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,7,2020,18,2,2020
