"Group","Scenario","Geography","ValueType","Value","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","50th centile","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"PHE","Forecast","East of England","infections_cum",36302.6957261182,16744.9641584688,20726.8159632626,28806.9138168275,45408.970909597,66223.7730365064,88876.0212784421,88876.0212784421,12,4,2020,14,3,2020
"PHE","Forecast","East of England","infections_cum",43684.4214432751,20296.7677457137,24955.4358297865,34828.6701196075,54470.0747450529,79662.5545375994,105192.308935058,105192.308935058,12,4,2020,15,3,2020
"PHE","Forecast","East of England","infections_cum",52509.7632936548,24567.6753436983,30553.8719546264,41973.6163821062,65701.5368181593,95615.3269515592,126596.677021809,126596.677021809,12,4,2020,16,3,2020
"PHE","Forecast","East of England","infections_cum",63113.4671931194,29602.8702001624,36782.7804903144,50540.0326462394,79263.7099527954,115436.812347485,152222.429669609,152222.429669609,12,4,2020,17,3,2020
"PHE","Forecast","East of England","infections_cum",76287.3341393005,35663.9133106514,44407.9351798054,60419.665979257,95463.5489698737,138366.106501806,182863.330556727,182863.330556727,12,4,2020,18,3,2020
"PHE","Forecast","East of England","infections_cum",91710.4594302219,43151.4974817131,53090.9206559382,72684.9521779166,114765.639291509,167551.114354322,219466.726215856,219466.726215856,12,4,2020,19,3,2020
"PHE","Forecast","East of England","infections_cum",110049.14349479,52536.4678650274,63660.7657668925,87467.3955151822,137643.208488184,201088.466695417,260071.772225494,260071.772225494,12,4,2020,20,3,2020
"PHE","Forecast","East of England","infections_cum",132336.002860115,63545.5171839394,76750.4958879673,105055.423938135,165687.758658885,240222.23077292,314387.479855411,314387.479855411,12,4,2020,21,3,2020
"PHE","Forecast","East of England","infections_cum",158423.31201698,75416.8356745656,92532.0423974646,125792.256808892,198914.889268277,289435.685258683,370160.769451528,370160.769451528,12,4,2020,22,3,2020
"PHE","Forecast","East of England","infections_cum",190865.547517592,89382.905697526,111201.637962209,149956.203967877,238228.746880858,346495.235157557,441063.872565023,441063.872565023,12,4,2020,23,3,2020
"PHE","Forecast","East of England","infections_cum",212224.826304068,99107.5524378806,123120.440862407,167413.082270771,263994.645343597,384573.014154959,494800.33710596,494800.33710596,12,4,2020,24,3,2020
"PHE","Forecast","East of England","infections_cum",219482.495783734,103539.936967754,127319.105685383,174355.55886755,273467.914332447,402344.619692752,516958.360247461,516958.360247461,12,4,2020,25,3,2020
"PHE","Forecast","East of England","infections_cum",227609.637815656,107824.837874881,133256.215034263,181124.546427046,284538.699450122,414716.945351972,524963.138104802,524963.138104802,12,4,2020,26,3,2020
"PHE","Forecast","East of England","infections_cum",236823.680177408,111394.103977493,139734.257022641,187928.37288423,296124.969296656,431386.850787448,544050.661622761,544050.661622761,12,4,2020,27,3,2020
"PHE","Forecast","East of England","infections_cum",245946.91541877,112683.059252343,145192.727131606,194553.757214026,306729.733983565,454087.513483877,584178.381451606,584178.381451606,12,4,2020,28,3,2020
"PHE","Forecast","East of England","infections_cum",253739.883138605,115436.192566552,150301.653763014,202445.971299626,317882.780426709,470924.952821589,601418.437807751,601418.437807751,12,4,2020,29,3,2020
"PHE","Forecast","East of England","infections_cum",261022.804725972,118127.668403002,153879.487948829,208478.100318769,328286.020992609,485683.462781673,632120.92190954,632120.92190954,12,4,2020,30,3,2020
"PHE","Forecast","East of England","infections_cum",268633.514589289,120567.002681104,156894.566292617,213334.452251942,339162.860286723,506674.818925489,653301.975620093,653301.975620093,12,4,2020,31,3,2020
"PHE","Forecast","East of England","infections_cum",275911.503612455,121949.558783496,159954.71535853,218332.564146634,349977.752845018,518861.373970549,705522.655313238,705522.655313238,12,4,2020,1,4,2020
"PHE","Forecast","East of England","infections_cum",282627.031886142,123337.593313912,161908.967209244,221610.823404321,359177.474447432,539880.237643999,758193.009246556,758193.009246556,12,4,2020,2,4,2020
"PHE","Forecast","East of England","infections_cum",289835.829054252,126137.723335946,162485.788335763,224307.892858414,369078.553129902,565074.323235968,792799.371823493,792799.371823493,12,4,2020,3,4,2020
"PHE","Forecast","East of England","infections_cum",296184.259662441,127975.916227109,164074.249216691,229282.127684391,381394.580164632,582267.794287658,813026.403146549,813026.403146549,12,4,2020,4,4,2020
"PHE","Forecast","East of England","infections_cum",302619.993900845,129347.862846824,164972.444859953,231806.331669784,389809.002104687,600011.257068258,871587.455159802,871587.455159802,12,4,2020,5,4,2020
"PHE","Forecast","East of England","infections_cum",307984.099679771,130569.989886256,167344.647451564,233449.557286015,398303.060941771,614917.005957983,882946.027804279,882946.027804279,12,4,2020,6,4,2020
"PHE","Forecast","East of England","infections_cum",310526.406193123,131786.246442532,168777.941440558,236233.477919934,405633.297762228,645238.31929743,916583.539204499,916583.539204499,12,4,2020,7,4,2020
"PHE","Forecast","East of England","infections_cum",313836.058552361,133182.311533311,171195.032334099,238880.406374294,412708.361386969,663784.16718727,966348.065524693,966348.065524693,12,4,2020,8,4,2020
"PHE","Forecast","East of England","infections_cum",318370.512710502,134491.213377382,172228.115252561,241216.623747252,420892.288492402,674101.459094768,1033744.71467275,1033744.71467275,12,4,2020,9,4,2020
"PHE","Forecast","East of England","infections_cum",321641.234585175,135717.656278254,172582.894071912,242798.954511172,428917.632642231,689594.468628182,1054483.75191365,1054483.75191365,12,4,2020,10,4,2020
"PHE","Forecast","East of England","infections_cum",324993.83444304,136866.319169884,172921.909919,244130.518819739,436164.093769236,711221.49844993,1096246.90937377,1096246.90937377,12,4,2020,11,4,2020
"PHE","Forecast","East of England","infections_cum",327339.905523674,137941.771564844,173981.663562424,245419.237871113,442671.110809937,731100.30120661,1197114.46292216,1197114.46292216,12,4,2020,12,4,2020
"PHE","Forecast","East of England","infections_cum",329130.21393489,138948.422382046,174019.619891412,246804.034643804,448421.595342449,741425.19143746,1300999.70192632,1300999.70192632,12,4,2020,13,4,2020
"PHE","Forecast","East of England","infections_cum",330955.943237611,139890.490342348,174049.058304399,247820.577509263,454953.119373395,767678.687411035,1317803.65990116,1317803.65990116,12,4,2020,14,4,2020
"PHE","Forecast","East of England","infections_cum",332771.990307852,140771.98854118,174071.890207578,248677.253567467,459248.592287163,778211.616275402,1333320.19094069,1333320.19094069,12,4,2020,15,4,2020
"PHE","Forecast","East of England","infections_cum",335221.611929808,141280.381221981,174909.035108175,249466.710602808,463742.686349471,796672.668355981,1348605.84544824,1348605.84544824,12,4,2020,16,4,2020
"PHE","Forecast","East of England","infections_cum",335934.617007936,141350.696641609,174952.13062495,250160.678902049,467525.919660555,828671.624812555,1409504.41023484,1409504.41023484,12,4,2020,17,4,2020
"PHE","Forecast","East of England","infections_cum",338682.631937989,141409.69824858,174987.05171275,250703.372127003,473438.199065114,851243.630428686,1470949.91363717,1470949.91363717,12,4,2020,18,4,2020
"PHE","Forecast","East of England","infections_cum",340447.328249306,141459.215647117,175026.92919199,251647.151859833,479033.005037954,888762.51216717,1532823.84636377,1532823.84636377,12,4,2020,19,4,2020
"PHE","Forecast","East of England","infections_cum",341818.399200616,141500.78164653,175064.484751692,252292.99618898,483980.188668495,933239.850187214,1568948.67554194,1568948.67554194,12,4,2020,20,4,2020
