age,region,day,lmean,lsd,sample_date,N
1-4,South_East,75,0,0,2020-05-01,937913
5-14,South_East,75,0,0,2020-05-01,303797
15-24,South_East,75,0,0,2020-05-01,2164134
25-44,South_East,75,0,0,2020-05-01,2361345
45-64,South_East,75,0,0,2020-05-01,1106476
65-74,South_East,75,0,0,2020-05-01,920695
75+,South_East,75,0,0,2020-05-01,798816
1-4,South_East,76,0,0,2020-05-02,937913
5-14,South_East,76,0,0,2020-05-02,303797
15-24,South_East,76,0,0,2020-05-02,2164134
25-44,South_East,76,0,0,2020-05-02,2361345
45-64,South_East,76,0,0,2020-05-02,1106476
65-74,South_East,76,0,0,2020-05-02,920695
75+,South_East,76,0,0,2020-05-02,798816
1-4,South_East,77,0,0,2020-05-03,937913
5-14,South_East,77,0,0,2020-05-03,303797
15-24,South_East,77,0,0,2020-05-03,2164134
25-44,South_East,77,0,0,2020-05-03,2361345
45-64,South_East,77,0,0,2020-05-03,1106476
65-74,South_East,77,0,0,2020-05-03,920695
75+,South_East,77,0,0,2020-05-03,798816
1-4,South_East,78,0,0,2020-05-04,937913
5-14,South_East,78,0,0,2020-05-04,303797
15-24,South_East,78,0,0,2020-05-04,2164134
25-44,South_East,78,0,0,2020-05-04,2361345
45-64,South_East,78,0,0,2020-05-04,1106476
65-74,South_East,78,0,0,2020-05-04,920695
75+,South_East,78,0,0,2020-05-04,798816
1-4,South_East,79,0,0,2020-05-05,937913
5-14,South_East,79,0,0,2020-05-05,303797
15-24,South_East,79,0,0,2020-05-05,2164134
25-44,South_East,79,0,0,2020-05-05,2361345
45-64,South_East,79,0,0,2020-05-05,1106476
65-74,South_East,79,0,0,2020-05-05,920695
75+,South_East,79,0,0,2020-05-05,798816
1-4,South_East,80,0,0,2020-05-06,937913
5-14,South_East,80,8.841993273442048,0.6652537614913019,2020-05-06,303797
15-24,South_East,80,8.933101608785766,0.5355042695705651,2020-05-06,2164134
25-44,South_East,80,9.603157286217275,0.367080418644826,2020-05-06,2361345
45-64,South_East,80,8.839277591339473,0.5372422519958996,2020-05-06,1106476
65-74,South_East,80,8.234411031351815,0.496435866400191,2020-05-06,920695
75+,South_East,80,8.910612386050534,0.5635207683440164,2020-05-06,798816
1-4,South_East,81,0,0,2020-05-07,937913
5-14,South_East,81,0,0,2020-05-07,303797
