age,region,day,lmean,lsd,sample_date,N
1-4,South_West,75,0,0,2020-05-01,177114.64218
5-14,South_West,75,0,0,2020-05-01,648861.4578
15-24,South_West,75,0,0,2020-05-01,598260.7629
25-44,South_West,75,0,0,2020-05-01,1312239.9912
45-64,South_West,75,0,0,2020-05-01,1502617.56
65-74,South_West,75,0,0,2020-05-01,667155.8252000001
75+,South_West,75,0,0,2020-05-01,567273.8581000001
1-4,South_West,76,0,0,2020-05-02,177114.64218
5-14,South_West,76,0,0,2020-05-02,648861.4578
15-24,South_West,76,0,0,2020-05-02,598260.7629
25-44,South_West,76,0,0,2020-05-02,1312239.9912
45-64,South_West,76,0,0,2020-05-02,1502617.56
65-74,South_West,76,0,0,2020-05-02,667155.8252000001
75+,South_West,76,0,0,2020-05-02,567273.8581000001
1-4,South_West,77,0,0,2020-05-03,177114.64218
5-14,South_West,77,0,0,2020-05-03,648861.4578
15-24,South_West,77,0,0,2020-05-03,598260.7629
25-44,South_West,77,0,0,2020-05-03,1312239.9912
45-64,South_West,77,0,0,2020-05-03,1502617.56
65-74,South_West,77,0,0,2020-05-03,667155.8252000001
75+,South_West,77,0,0,2020-05-03,567273.8581000001
1-4,South_West,78,0,0,2020-05-04,177114.64218
5-14,South_West,78,0,0,2020-05-04,648861.4578
15-24,South_West,78,0,0,2020-05-04,598260.7629
25-44,South_West,78,0,0,2020-05-04,1312239.9912
45-64,South_West,78,0,0,2020-05-04,1502617.56
65-74,South_West,78,0,0,2020-05-04,667155.8252000001
75+,South_West,78,0,0,2020-05-04,567273.8581000001
1-4,South_West,79,0,0,2020-05-05,177114.64218
5-14,South_West,79,0,0,2020-05-05,648861.4578
15-24,South_West,79,0,0,2020-05-05,598260.7629
25-44,South_West,79,0,0,2020-05-05,1312239.9912
45-64,South_West,79,0,0,2020-05-05,1502617.56
65-74,South_West,79,0,0,2020-05-05,667155.8252000001
75+,South_West,79,0,0,2020-05-05,567273.8581000001
1-4,South_West,80,0,0,2020-05-06,177114.64218
5-14,South_West,80,0,0,2020-05-06,648861.4578
15-24,South_West,80,0,0,2020-05-06,598260.7629
25-44,South_West,80,0,0,2020-05-06,1312239.9912
45-64,South_West,80,0,0,2020-05-06,1502617.56
65-74,South_West,80,0,0,2020-05-06,667155.8252000001
75+,South_West,80,0,0,2020-05-06,567273.8581000001
1-4,South_West,81,0,0,2020-05-07,177114.64218
5-14,South_West,81,0,0,2020-05-07,648861.4578
15-24,South_West,81,0,0,2020-05-07,598260.7629
25-44,South_West,81,0,0,2020-05-07,1312239.9912
45-64,South_West,81,0,0,2020-05-07,1502617.56
65-74,South_West,81,0,0,2020-05-07,667155.8252000001
75+,South_West,81,0,0,2020-05-07,567273.8581000001
1-4,South_West,82,0,0,2020-05-08,177114.64218
5-14,South_West,82,8.250744534874405,0.5730328271468307,2020-05-08,648861.4578
15-24,South_West,82,8.486517734967965,0.5416463724003292,2020-05-08,598260.7629
25-44,South_West,82,8.562187814112464,0.5050386695704812,2020-05-08,1312239.9912
45-64,South_West,82,8.158619163263442,0.5151340619088246,2020-05-08,1502617.56
65-74,South_West,82,7.962153473324114,0.46586650995628603,2020-05-08,667155.8252000001
75+,South_West,82,9.12721981855805,0.4488158246922272,2020-05-08,567273.8581000001
1-4,South_West,83,0,0,2020-05-09,177114.64218
5-14,South_West,83,0,0,2020-05-09,648861.4578
15-24,South_West,83,0,0,2020-05-09,598260.7629
25-44,South_West,83,0,0,2020-05-09,1312239.9912
45-64,South_West,83,0,0,2020-05-09,1502617.56
65-74,South_West,83,0,0,2020-05-09,667155.8252000001
75+,South_West,83,0,0,2020-05-09,567273.8581000001
1-4,South_West,84,0,0,2020-05-10,177114.64218
5-14,South_West,84,0,0,2020-05-10,648861.4578
15-24,South_West,84,0,0,2020-05-10,598260.7629
