age,region,day,lmean,lsd,sample_date,N
1-4,South_West,75,0,0,2020-05-01,598261
5-14,South_West,75,0,0,2020-05-01,177115
15-24,South_West,75,0,0,2020-05-01,1312240
25-44,South_West,75,0,0,2020-05-01,1502618
45-64,South_West,75,0,0,2020-05-01,648861
65-74,South_West,75,0,0,2020-05-01,667156
75+,South_West,75,0,0,2020-05-01,567274
1-4,South_West,76,0,0,2020-05-02,598261
5-14,South_West,76,8.266635996234866,0.8291396292660587,2020-05-02,177115
15-24,South_West,76,8.725051338211104,0.6582856766390826,2020-05-02,1312240
25-44,South_West,76,8.333205891705374,0.6805031756279176,2020-05-02,1502618
45-64,South_West,76,8.388220546805469,0.7159202031883648,2020-05-02,648861
65-74,South_West,76,8.135978195426766,0.6194028161644481,2020-05-02,667156
75+,South_West,76,9.442149658115024,0.5772142360653497,2020-05-02,567274
1-4,South_West,77,0,0,2020-05-03,598261
5-14,South_West,77,0,0,2020-05-03,177115
15-24,South_West,77,0,0,2020-05-03,1312240
25-44,South_West,77,0,0,2020-05-03,1502618
45-64,South_West,77,0,0,2020-05-03,648861
65-74,South_West,77,0,0,2020-05-03,667156
75+,South_West,77,0,0,2020-05-03,567274
1-4,South_West,78,0,0,2020-05-04,598261
5-14,South_West,78,0,0,2020-05-04,177115
15-24,South_West,78,0,0,2020-05-04,1312240
25-44,South_West,78,0,0,2020-05-04,1502618
45-64,South_West,78,0,0,2020-05-04,648861
65-74,South_West,78,0,0,2020-05-04,667156
75+,South_West,78,0,0,2020-05-04,567274
1-4,South_West,79,0,0,2020-05-05,598261
5-14,South_West,79,0,0,2020-05-05,177115
15-24,South_West,79,0,0,2020-05-05,1312240
25-44,South_West,79,0,0,2020-05-05,1502618
45-64,South_West,79,0,0,2020-05-05,648861
65-74,South_West,79,0,0,2020-05-05,667156
75+,South_West,79,0,0,2020-05-05,567274
1-4,South_West,80,0,0,2020-05-06,598261
5-14,South_West,80,0,0,2020-05-06,177115
15-24,South_West,80,0,0,2020-05-06,1312240
25-44,South_West,80,0,0,2020-05-06,1502618
45-64,South_West,80,0,0,2020-05-06,648861
65-74,South_West,80,0,0,2020-05-06,667156
75+,South_West,80,0,0,2020-05-06,567274
1-4,South_West,81,0,0,2020-05-07,598261
5-14,South_West,81,0,0,2020-05-07,177115
15-24,South_West,81,0,0,2020-05-07,1312240
25-44,South_West,81,0,0,2020-05-07,1502618
45-64,South_West,81,0,0,2020-05-07,648861
65-74,South_West,81,0,0,2020-05-07,667156
75+,South_West,81,0,0,2020-05-07,567274
1-4,South_West,82,0,0,2020-05-08,598261
5-14,South_West,82,0,0,2020-05-08,177115
15-24,South_West,82,0,0,2020-05-08,1312240
25-44,South_West,82,0,0,2020-05-08,1502618
45-64,South_West,82,0,0,2020-05-08,648861
65-74,South_West,82,0,0,2020-05-08,667156
75+,South_West,82,0,0,2020-05-08,567274
1-4,South_West,83,0,0,2020-05-09,598261
5-14,South_West,83,0,0,2020-05-09,177115
15-24,South_West,83,0,0,2020-05-09,1312240
25-44,South_West,83,0,0,2020-05-09,1502618
45-64,South_West,83,0,0,2020-05-09,648861
65-74,South_West,83,0,0,2020-05-09,667156
75+,South_West,83,0,0,2020-05-09,567274
1-4,South_West,84,0,0,2020-05-10,598261
5-14,South_West,84,0,0,2020-05-10,177115
15-24,South_West,84,0,0,2020-05-10,1312240
25-44,South_West,84,0,0,2020-05-10,1502618
45-64,South_West,84,0,0,2020-05-10,648861
65-74,South_West,84,0,0,2020-05-10,667156
75+,South_West,84,0,0,2020-05-10,567274
1-4,South_West,85,0,0,2020-05-11,598261
5-14,South_West,85,0,0,2020-05-11,177115
15-24,South_West,85,0,0,2020-05-11,1312240
25-44,South_West,85,0,0,2020-05-11,1502618
45-64,South_West,85,0,0,2020-05-11,648861
65-74,South_West,85,0,0,2020-05-11,667156
75+,South_West,85,0,0,2020-05-11,567274
1-4,South_West,86,0,0,2020-05-12,598261
5-14,South_West,86,0,0,2020-05-12,177115
15-24,South_West,86,0,0,2020-05-12,1312240
25-44,South_West,86,0,0,2020-05-12,1502618
45-64,South_West,86,0,0,2020-05-12,648861
65-74,South_West,86,0,0,2020-05-12,667156
75+,South_West,86,0,0,2020-05-12,567274
1-4,South_West,87,0,0,2020-05-13,598261
5-14,South_West,87,0,0,2020-05-13,177115
15-24,South_West,87,0,0,2020-05-13,1312240
25-44,South_West,87,0,0,2020-05-13,1502618
45-64,South_West,87,0,0,2020-05-13,648861
65-74,South_West,87,0,0,2020-05-13,667156
75+,South_West,87,0,0,2020-05-13,567274
1-4,South_West,88,0,0,2020-05-14,598261
5-14,South_West,88,0,0,2020-05-14,177115
15-24,South_West,88,0,0,2020-05-14,1312240
25-44,South_West,88,0,0,2020-05-14,1502618
45-64,South_West,88,0,0,2020-05-14,648861
65-74,South_West,88,0,0,2020-05-14,667156
75+,South_West,88,0,0,2020-05-14,567274
1-4,South_West,89,0,0,2020-05-15,598261
5-14,South_West,89,0,0,2020-05-15,177115
15-24,South_West,89,0,0,2020-05-15,1312240
25-44,South_West,89,0,0,2020-05-15,1502618
45-64,South_West,89,0,0,2020-05-15,648861
65-74,South_West,89,0,0,2020-05-15,667156
75+,South_West,89,0,0,2020-05-15,567274
1-4,South_West,90,0,0,2020-05-16,598261
5-14,South_West,90,8.012557913370804,0.5066593611486834,2020-05-16,177115
15-24,South_West,90,8.460923288210926,0.3870440925899834,2020-05-16,1312240
25-44,South_West,90,8.074579766364106,0.4013052598337143,2020-05-16,1502618
45-64,South_West,90,8.098866403405022,0.4329812494150876,2020-05-16,648861
65-74,South_West,90,7.785344621377397,0.3679050653660241,2020-05-16,667156
75+,South_West,90,8.747574177531236,0.36822875124784366,2020-05-16,567274
1-4,South_West,91,0,0,2020-05-17,598261
5-14,South_West,91,0,0,2020-05-17,177115
15-24,South_West,91,0,0,2020-05-17,1312240
25-44,South_West,91,0,0,2020-05-17,1502618
45-64,South_West,91,0,0,2020-05-17,648861
65-74,South_West,91,0,0,2020-05-17,667156
75+,South_West,91,0,0,2020-05-17,567274
1-4,South_West,92,0,0,2020-05-18,598261
5-14,South_West,92,0,0,2020-05-18,177115
15-24,South_West,92,0,0,2020-05-18,1312240
25-44,South_West,92,0,0,2020-05-18,1502618
45-64,South_West,92,0,0,2020-05-18,648861
65-74,South_West,92,0,0,2020-05-18,667156
75+,South_West,92,0,0,2020-05-18,567274
1-4,South_West,93,0,0,2020-05-19,598261
5-14,South_West,93,0,0,2020-05-19,177115
15-24,South_West,93,0,0,2020-05-19,1312240
25-44,South_West,93,0,0,2020-05-19,1502618
45-64,South_West,93,0,0,2020-05-19,648861
65-74,South_West,93,0,0,2020-05-19,667156
75+,South_West,93,0,0,2020-05-19,567274
1-4,South_West,94,0,0,2020-05-20,598261
5-14,South_West,94,0,0,2020-05-20,177115
15-24,South_West,94,0,0,2020-05-20,1312240
25-44,South_West,94,0,0,2020-05-20,1502618
45-64,South_West,94,0,0,2020-05-20,648861
65-74,South_West,94,0,0,2020-05-20,667156
75+,South_West,94,0,0,2020-05-20,567274
1-4,South_West,95,0,0,2020-05-21,598261
5-14,South_West,95,0,0,2020-05-21,177115
15-24,South_West,95,0,0,2020-05-21,1312240
25-44,South_West,95,0,0,2020-05-21,1502618
45-64,South_West,95,0,0,2020-05-21,648861
65-74,South_West,95,0,0,2020-05-21,667156
75+,South_West,95,0,0,2020-05-21,567274
1-4,South_West,96,0,0,2020-05-22,598261
5-14,South_West,96,0,0,2020-05-22,177115
15-24,South_West,96,0,0,2020-05-22,1312240
25-44,South_West,96,0,0,2020-05-22,1502618
45-64,South_West,96,0,0,2020-05-22,648861
65-74,South_West,96,0,0,2020-05-22,667156
75+,South_West,96,0,0,2020-05-22,567274
1-4,South_West,97,0,0,2020-05-23,598261
5-14,South_West,97,0,0,2020-05-23,177115
15-24,South_West,97,0,0,2020-05-23,1312240
25-44,South_West,97,0,0,2020-05-23,1502618
45-64,South_West,97,0,0,2020-05-23,648861
65-74,South_West,97,0,0,2020-05-23,667156
75+,South_West,97,0,0,2020-05-23,567274
1-4,South_West,98,0,0,2020-05-24,598261
5-14,South_West,98,0,0,2020-05-24,177115
15-24,South_West,98,0,0,2020-05-24,1312240
25-44,South_West,98,0,0,2020-05-24,1502618
45-64,South_West,98,0,0,2020-05-24,648861
65-74,South_West,98,0,0,2020-05-24,667156
75+,South_West,98,0,0,2020-05-24,567274
1-4,South_West,99,0,0,2020-05-25,598261
5-14,South_West,99,0,0,2020-05-25,177115
15-24,South_West,99,0,0,2020-05-25,1312240
25-44,South_West,99,0,0,2020-05-25,1502618
45-64,South_West,99,0,0,2020-05-25,648861
65-74,South_West,99,0,0,2020-05-25,667156
