age,region,day,lmean,lsd,sample_date
1-4,East_of_England,246,0,0,2020-10-19
1-4,East_of_England,247,0,0,2020-10-20
1-4,East_of_England,248,0,0,2020-10-21
1-4,East_of_England,249,0,0,2020-10-22
1-4,East_of_England,250,0,0,2020-10-23
1-4,East_of_England,251,0,0,2020-10-24
1-4,East_of_England,252,0,0,2020-10-25
1-4,East_of_England,253,0,0,2020-10-26
1-4,East_of_England,254,0,0,2020-10-27
1-4,East_of_England,255,0,0,2020-10-28
1-4,East_of_England,256,0,0,2020-10-29
1-4,East_of_England,257,0,0,2020-10-30
1-4,East_of_England,258,0,0,2020-10-31
1-4,East_of_England,259,0,0,2020-11-01
1-4,East_of_England,260,0,0,2020-11-02
1-4,East_of_England,261,0,0,2020-11-03
1-4,East_of_England,262,0,0,2020-11-04
1-4,East_of_England,263,0,0,2020-11-05
1-4,East_of_England,264,0,0,2020-11-06
1-4,East_of_England,265,0,0,2020-11-07
1-4,East_of_England,266,0,0,2020-11-08
1-4,East_of_England,267,0,0,2020-11-09
1-4,East_of_England,268,0,0,2020-11-10
1-4,East_of_England,269,0,0,2020-11-11
1-4,East_of_England,270,0,0,2020-11-12
1-4,East_of_England,271,0,0,2020-11-13
1-4,East_of_England,272,0,0,2020-11-14
1-4,East_of_England,273,0,0,2020-11-15
1-4,East_of_England,274,0,0,2020-11-16
1-4,East_of_England,275,0,0,2020-11-17
1-4,East_of_England,276,0,0,2020-11-18
1-4,East_of_England,277,0,0,2020-11-19
1-4,East_of_England,278,0,0,2020-11-20
1-4,East_of_England,279,0,0,2020-11-21
1-4,East_of_England,280,0,0,2020-11-22
1-4,East_of_England,281,0,0,2020-11-23
1-4,East_of_England,282,0,0,2020-11-24
1-4,East_of_England,283,0,0,2020-11-25
1-4,East_of_England,284,0,0,2020-11-26
1-4,East_of_England,285,0,0,2020-11-27
1-4,East_of_England,286,0,0,2020-11-28
1-4,East_of_England,287,0,0,2020-11-29
1-4,East_of_England,288,0,0,2020-11-30
1-4,East_of_England,289,0,0,2020-12-01
1-4,East_of_England,290,0,0,2020-12-02
1-4,East_of_England,291,0,0,2020-12-03
1-4,East_of_England,292,0,0,2020-12-04
1-4,East_of_England,293,0,0,2020-12-05
1-4,East_of_England,294,0,0,2020-12-06
1-4,East_of_England,295,0,0,2020-12-07
1-4,East_of_England,296,0,0,2020-12-08
1-4,East_of_England,297,0,0,2020-12-09
1-4,East_of_England,298,0,0,2020-12-10
1-4,East_of_England,299,0,0,2020-12-11
1-4,East_of_England,300,0,0,2020-12-12
1-4,East_of_England,301,0,0,2020-12-13
1-4,East_of_England,302,0,0,2020-12-14
1-4,East_of_England,303,0,0,2020-12-15
1-4,East_of_England,304,0,0,2020-12-16
1-4,East_of_England,305,0,0,2020-12-17
1-4,East_of_England,306,0,0,2020-12-18
1-4,East_of_England,307,0,0,2020-12-19
1-4,East_of_England,308,0,0,2020-12-20
1-4,East_of_England,309,0,0,2020-12-21
1-4,East_of_England,310,0,0,2020-12-22
1-4,East_of_England,311,0,0,2020-12-23
1-4,East_of_England,312,0,0,2020-12-24
1-4,East_of_England,313,0,0,2020-12-25
1-4,East_of_England,314,0,0,2020-12-26
1-4,East_of_England,315,0,0,2020-12-27
1-4,East_of_England,316,0,0,2020-12-28
1-4,East_of_England,317,0,0,2020-12-29
1-4,East_of_England,318,0,0,2020-12-30
1-4,East_of_England,319,0,0,2020-12-31
1-4,East_Midlands,246,0,0,2020-10-19
1-4,East_Midlands,247,0,0,2020-10-20
1-4,East_Midlands,248,0,0,2020-10-21
1-4,East_Midlands,249,0,0,2020-10-22
1-4,East_Midlands,250,0,0,2020-10-23
1-4,East_Midlands,251,0,0,2020-10-24
1-4,East_Midlands,252,0,0,2020-10-25
1-4,East_Midlands,253,0,0,2020-10-26
1-4,East_Midlands,254,0,0,2020-10-27
1-4,East_Midlands,255,0,0,2020-10-28
1-4,East_Midlands,256,0,0,2020-10-29
1-4,East_Midlands,257,0,0,2020-10-30
1-4,East_Midlands,258,0,0,2020-10-31
1-4,East_Midlands,259,0,0,2020-11-01
1-4,East_Midlands,260,0,0,2020-11-02
1-4,East_Midlands,261,0,0,2020-11-03
1-4,East_Midlands,262,0,0,2020-11-04
1-4,East_Midlands,263,0,0,2020-11-05
1-4,East_Midlands,264,0,0,2020-11-06
1-4,East_Midlands,265,0,0,2020-11-07
1-4,East_Midlands,266,0,0,2020-11-08
1-4,East_Midlands,267,0,0,2020-11-09
1-4,East_Midlands,268,0,0,2020-11-10
1-4,East_Midlands,269,0,0,2020-11-11
1-4,East_Midlands,270,0,0,2020-11-12
1-4,East_Midlands,271,0,0,2020-11-13
1-4,East_Midlands,272,0,0,2020-11-14
1-4,East_Midlands,273,0,0,2020-11-15
1-4,East_Midlands,274,0,0,2020-11-16
1-4,East_Midlands,275,0,0,2020-11-17
1-4,East_Midlands,276,0,0,2020-11-18
1-4,East_Midlands,277,0,0,2020-11-19
1-4,East_Midlands,278,0,0,2020-11-20
1-4,East_Midlands,279,0,0,2020-11-21
1-4,East_Midlands,280,0,0,2020-11-22
1-4,East_Midlands,281,0,0,2020-11-23
1-4,East_Midlands,282,0,0,2020-11-24
1-4,East_Midlands,283,0,0,2020-11-25
1-4,East_Midlands,284,0,0,2020-11-26
1-4,East_Midlands,285,0,0,2020-11-27
1-4,East_Midlands,286,0,0,2020-11-28
1-4,East_Midlands,287,0,0,2020-11-29
1-4,East_Midlands,288,0,0,2020-11-30
1-4,East_Midlands,289,0,0,2020-12-01
1-4,East_Midlands,290,0,0,2020-12-02
1-4,East_Midlands,291,0,0,2020-12-03
1-4,East_Midlands,292,0,0,2020-12-04
1-4,East_Midlands,293,0,0,2020-12-05
1-4,East_Midlands,294,0,0,2020-12-06
1-4,East_Midlands,295,0,0,2020-12-07
1-4,East_Midlands,296,0,0,2020-12-08
1-4,East_Midlands,297,0,0,2020-12-09
1-4,East_Midlands,298,0,0,2020-12-10
1-4,East_Midlands,299,0,0,2020-12-11
1-4,East_Midlands,300,0,0,2020-12-12
1-4,East_Midlands,301,0,0,2020-12-13
1-4,East_Midlands,302,0,0,2020-12-14
1-4,East_Midlands,303,0,0,2020-12-15
1-4,East_Midlands,304,0,0,2020-12-16
1-4,East_Midlands,305,0,0,2020-12-17
1-4,East_Midlands,306,0,0,2020-12-18
1-4,East_Midlands,307,0,0,2020-12-19
1-4,East_Midlands,308,0,0,2020-12-20
1-4,East_Midlands,309,0,0,2020-12-21
1-4,East_Midlands,310,0,0,2020-12-22
1-4,East_Midlands,311,0,0,2020-12-23
1-4,East_Midlands,312,0,0,2020-12-24
1-4,East_Midlands,313,0,0,2020-12-25
1-4,East_Midlands,314,0,0,2020-12-26
1-4,East_Midlands,315,0,0,2020-12-27
1-4,East_Midlands,316,0,0,2020-12-28
1-4,East_Midlands,317,0,0,2020-12-29
1-4,East_Midlands,318,0,0,2020-12-30
1-4,East_Midlands,319,0,0,2020-12-31
1-4,London,246,0,0,2020-10-19
1-4,London,247,0,0,2020-10-20
1-4,London,248,0,0,2020-10-21
1-4,London,249,0,0,2020-10-22
1-4,London,250,0,0,2020-10-23
1-4,London,251,0,0,2020-10-24
1-4,London,252,0,0,2020-10-25
1-4,London,253,0,0,2020-10-26
1-4,London,254,0,0,2020-10-27
