age,region,day,lmean,lsd,sample_date,N
1-4,North_West,75,0,0,2020-05-01,409787
5-14,North_West,75,0,0,2020-05-01,126013
15-24,North_West,75,0,0,2020-05-01,907076
25-44,North_West,75,0,0,2020-05-01,1052792
45-64,North_West,75,0,0,2020-05-01,448078
65-74,North_West,75,0,0,2020-05-01,442038
75+,North_West,75,0,0,2020-05-01,357770
1-4,North_West,76,0,0,2020-05-02,409787
5-14,North_West,76,0,0,2020-05-02,126013
15-24,North_West,76,0,0,2020-05-02,907076
25-44,North_West,76,0,0,2020-05-02,1052792
45-64,North_West,76,0,0,2020-05-02,448078
65-74,North_West,76,0,0,2020-05-02,442038
75+,North_West,76,0,0,2020-05-02,357770
1-4,North_West,77,0,0,2020-05-03,409787
5-14,North_West,77,0,0,2020-05-03,126013
15-24,North_West,77,0,0,2020-05-03,907076
25-44,North_West,77,0,0,2020-05-03,1052792
45-64,North_West,77,0,0,2020-05-03,448078
65-74,North_West,77,0,0,2020-05-03,442038
75+,North_West,77,0,0,2020-05-03,357770
1-4,North_West,78,0,0,2020-05-04,409787
5-14,North_West,78,0,0,2020-05-04,126013
15-24,North_West,78,0,0,2020-05-04,907076
25-44,North_West,78,0,0,2020-05-04,1052792
45-64,North_West,78,0,0,2020-05-04,448078
65-74,North_West,78,0,0,2020-05-04,442038
75+,North_West,78,0,0,2020-05-04,357770
1-4,North_West,79,0,0,2020-05-05,409787
5-14,North_West,79,0,0,2020-05-05,126013
15-24,North_West,79,0,0,2020-05-05,907076
25-44,North_West,79,0,0,2020-05-05,1052792
45-64,North_West,79,0,0,2020-05-05,448078
65-74,North_West,79,0,0,2020-05-05,442038
75+,North_West,79,0,0,2020-05-05,357770
1-4,North_West,80,0,0,2020-05-06,409787
5-14,North_West,80,0,0,2020-05-06,126013
15-24,North_West,80,0,0,2020-05-06,907076
25-44,North_West,80,0,0,2020-05-06,1052792
45-64,North_West,80,0,0,2020-05-06,448078
65-74,North_West,80,0,0,2020-05-06,442038
75+,North_West,80,0,0,2020-05-06,357770
1-4,North_West,81,0,0,2020-05-07,409787
5-14,North_West,81,0,0,2020-05-07,126013
15-24,North_West,81,0,0,2020-05-07,907076
25-44,North_West,81,0,0,2020-05-07,1052792
45-64,North_West,81,0,0,2020-05-07,448078
65-74,North_West,81,0,0,2020-05-07,442038
75+,North_West,81,0,0,2020-05-07,357770
1-4,North_West,82,0,0,2020-05-08,409787
5-14,North_West,82,0,0,2020-05-08,126013
15-24,North_West,82,0,0,2020-05-08,907076
25-44,North_West,82,0,0,2020-05-08,1052792
45-64,North_West,82,0,0,2020-05-08,448078
65-74,North_West,82,0,0,2020-05-08,442038
75+,North_West,82,0,0,2020-05-08,357770
1-4,North_West,83,0,0,2020-05-09,409787
5-14,North_West,83,7.97831156965377,0.6091976453193274,2020-05-09,126013
15-24,North_West,83,8.812547828960279,0.36949048868863443,2020-05-09,907076
25-44,North_West,83,8.288052003465738,0.42449786465808176,2020-05-09,1052792
45-64,North_West,83,8.226538211374498,0.470451693388549,2020-05-09,448078
65-74,North_West,83,7.295226947030548,0.4924661530461312,2020-05-09,442038
75+,North_West,83,8.548247733860155,0.5342073950762946,2020-05-09,357770
1-4,North_West,84,0,0,2020-05-10,409787
5-14,North_West,84,0,0,2020-05-10,126013
15-24,North_West,84,0,0,2020-05-10,907076
25-44,North_West,84,0,0,2020-05-10,1052792
45-64,North_West,84,0,0,2020-05-10,448078
65-74,North_West,84,0,0,2020-05-10,442038
75+,North_West,84,0,0,2020-05-10,357770
1-4,North_West,85,0,0,2020-05-11,409787
5-14,North_West,85,0,0,2020-05-11,126013
15-24,North_West,85,0,0,2020-05-11,907076
25-44,North_West,85,0,0,2020-05-11,1052792
45-64,North_West,85,0,0,2020-05-11,448078
65-74,North_West,85,0,0,2020-05-11,442038
75+,North_West,85,0,0,2020-05-11,357770
1-4,North_West,86,0,0,2020-05-12,409787
5-14,North_West,86,0,0,2020-05-12,126013
15-24,North_West,86,0,0,2020-05-12,907076
25-44,North_West,86,0,0,2020-05-12,1052792
45-64,North_West,86,0,0,2020-05-12,448078
65-74,North_West,86,0,0,2020-05-12,442038
75+,North_West,86,0,0,2020-05-12,357770
1-4,North_West,87,0,0,2020-05-13,409787
5-14,North_West,87,0,0,2020-05-13,126013
15-24,North_West,87,0,0,2020-05-13,907076
25-44,North_West,87,0,0,2020-05-13,1052792
45-64,North_West,87,0,0,2020-05-13,448078
65-74,North_West,87,0,0,2020-05-13,442038
75+,North_West,87,0,0,2020-05-13,357770
1-4,North_West,88,0,0,2020-05-14,409787
5-14,North_West,88,0,0,2020-05-14,126013
15-24,North_West,88,0,0,2020-05-14,907076
25-44,North_West,88,0,0,2020-05-14,1052792
45-64,North_West,88,0,0,2020-05-14,448078
65-74,North_West,88,0,0,2020-05-14,442038
75+,North_West,88,0,0,2020-05-14,357770
1-4,North_West,89,0,0,2020-05-15,409787
5-14,North_West,89,0,0,2020-05-15,126013
15-24,North_West,89,0,0,2020-05-15,907076
25-44,North_West,89,0,0,2020-05-15,1052792
45-64,North_West,89,0,0,2020-05-15,448078
65-74,North_West,89,0,0,2020-05-15,442038
75+,North_West,89,0,0,2020-05-15,357770
1-4,North_West,90,0,0,2020-05-16,409787
