age,region,day,lmean,lsd,sample_date,N
1-4,South_West,75,0,0,2020-05-01,598144
5-14,South_West,75,0,0,2020-05-01,177480
15-24,South_West,75,0,0,2020-05-01,1311291
25-44,South_West,75,0,0,2020-05-01,1502275
45-64,South_West,75,0,0,2020-05-01,648343
65-74,South_West,75,0,0,2020-05-01,666919
75+,South_West,75,0,0,2020-05-01,565864
1-4,South_West,76,0,0,2020-05-02,598144
5-14,South_West,76,0,0,2020-05-02,177480
15-24,South_West,76,0,0,2020-05-02,1311291
25-44,South_West,76,0,0,2020-05-02,1502275
45-64,South_West,76,0,0,2020-05-02,648343
65-74,South_West,76,0,0,2020-05-02,666919
75+,South_West,76,0,0,2020-05-02,565864
1-4,South_West,77,0,0,2020-05-03,598144
5-14,South_West,77,0,0,2020-05-03,177480
15-24,South_West,77,0,0,2020-05-03,1311291
25-44,South_West,77,0,0,2020-05-03,1502275
45-64,South_West,77,0,0,2020-05-03,648343
65-74,South_West,77,0,0,2020-05-03,666919
75+,South_West,77,0,0,2020-05-03,565864
1-4,South_West,78,0,0,2020-05-04,598144
5-14,South_West,78,0,0,2020-05-04,177480
15-24,South_West,78,0,0,2020-05-04,1311291
25-44,South_West,78,0,0,2020-05-04,1502275
45-64,South_West,78,0,0,2020-05-04,648343
65-74,South_West,78,0,0,2020-05-04,666919
75+,South_West,78,0,0,2020-05-04,565864
1-4,South_West,79,0,0,2020-05-05,598144
5-14,South_West,79,0,0,2020-05-05,177480
15-24,South_West,79,0,0,2020-05-05,1311291
25-44,South_West,79,0,0,2020-05-05,1502275
45-64,South_West,79,0,0,2020-05-05,648343
65-74,South_West,79,0,0,2020-05-05,666919
75+,South_West,79,0,0,2020-05-05,565864
1-4,South_West,80,0,0,2020-05-06,598144
5-14,South_West,80,0,0,2020-05-06,177480
15-24,South_West,80,0,0,2020-05-06,1311291
25-44,South_West,80,0,0,2020-05-06,1502275
45-64,South_West,80,0,0,2020-05-06,648343
65-74,South_West,80,0,0,2020-05-06,666919
75+,South_West,80,0,0,2020-05-06,565864
1-4,South_West,81,0,0,2020-05-07,598144
5-14,South_West,81,0,0,2020-05-07,177480
15-24,South_West,81,0,0,2020-05-07,1311291
25-44,South_West,81,0,0,2020-05-07,1502275
45-64,South_West,81,0,0,2020-05-07,648343
65-74,South_West,81,0,0,2020-05-07,666919
75+,South_West,81,0,0,2020-05-07,565864
1-4,South_West,82,0,0,2020-05-08,598144
5-14,South_West,82,0,0,2020-05-08,177480
15-24,South_West,82,0,0,2020-05-08,1311291
25-44,South_West,82,0,0,2020-05-08,1502275
45-64,South_West,82,0,0,2020-05-08,648343
65-74,South_West,82,0,0,2020-05-08,666919
75+,South_West,82,0,0,2020-05-08,565864
1-4,South_West,83,0,0,2020-05-09,598144
5-14,South_West,83,0,0,2020-05-09,177480
15-24,South_West,83,0,0,2020-05-09,1311291
25-44,South_West,83,0,0,2020-05-09,1502275
45-64,South_West,83,0,0,2020-05-09,648343
65-74,South_West,83,0,0,2020-05-09,666919
75+,South_West,83,0,0,2020-05-09,565864
1-4,South_West,84,0,0,2020-05-10,598144
5-14,South_West,84,0,0,2020-05-10,177480
15-24,South_West,84,0,0,2020-05-10,1311291
25-44,South_West,84,0,0,2020-05-10,1502275
45-64,South_West,84,0,0,2020-05-10,648343
65-74,South_West,84,0,0,2020-05-10,666919
75+,South_West,84,0,0,2020-05-10,565864
1-4,South_West,85,0,0,2020-05-11,598144
5-14,South_West,85,0,0,2020-05-11,177480
15-24,South_West,85,0,0,2020-05-11,1311291
25-44,South_West,85,0,0,2020-05-11,1502275
45-64,South_West,85,0,0,2020-05-11,648343
65-74,South_West,85,0,0,2020-05-11,666919
75+,South_West,85,0,0,2020-05-11,565864
1-4,South_West,86,0,0,2020-05-12,598144
5-14,South_West,86,0,0,2020-05-12,177480
15-24,South_West,86,0,0,2020-05-12,1311291
25-44,South_West,86,0,0,2020-05-12,1502275
45-64,South_West,86,0,0,2020-05-12,648343
65-74,South_West,86,0,0,2020-05-12,666919
75+,South_West,86,0,0,2020-05-12,565864
1-4,South_West,87,0,0,2020-05-13,598144
5-14,South_West,87,0,0,2020-05-13,177480
15-24,South_West,87,0,0,2020-05-13,1311291
25-44,South_West,87,0,0,2020-05-13,1502275
45-64,South_West,87,0,0,2020-05-13,648343
